dog_1__cid,dog_2__cid,place__city,place__zip,place__street_address,place__building__floor,place__building__door
d-31,d-32,Port Barbara,12803,818 Parker Circle,9,26
d-7,d-11,Bartonland,72829,642 Robinson Harbor,3,65
d-19,d-12,Bennettville,47826,40287 Elizabeth Summit,8,88
d-5,d-13,Tylershire,61797,454 Garcia Mission,15,64
d-31,d-16,New Wanda,41731,53755 Shaffer Keys,15,87
d-7,d-10,Annaside,64849,32729 Reed Manor,6,27
d-26,d-6,Joshuaborough,09022,392 Jesus Gateway,2,97
d-30,d-4,Leefort,84415,97296 Cline Junction,5,20
d-12,d-3,Lopezshire,29323,55134 Adam Viaduct,34,60
d-31,d-13,Lake William,05937,40672 Michelle Shoal,5,40
d-19,d-4,North Lindsayfurt,04832,44772 Campbell Locks,4,83
d-9,d-18,South Ruthtown,39699,00510 Justin Lake,10,8
d-19,d-18,Ryanstad,75086,4800 Rosales Light,23,98
d-29,d-10,Lake Michael,58586,74600 Diana Curve,7,83
d-19,d-29,New Lisa,72540,33601 Espinoza Mountains,7,35
d-14,d-36,North Jacquelineburgh,96353,51915 Julie Knoll,7,39
d-15,d-30,North Jefferymouth,03951,7348 Daniel Trail,14,12
d-15,d-10,New Richard,08310,799 Morris Hill,23,29
d-5,d-13,Chrischester,18654,18960 Elizabeth River,12,101
d-16,d-6,North Travis,72291,299 Gabriel Crescent,10,6
d-28,d-29,Reynoldsland,56836,68118 Teresa Street,8,7
d-22,d-29,North Jessicaland,89783,749 Cohen Viaduct,11,55
d-1,d-9,New Jamesville,97426,528 Miller Dam,11,67
d-6,d-36,Gabrielview,70766,2327 King Garden,11,8
d-20,d-3,Ralphshire,84164,32681 Stephanie Crescent,10,59
d-28,d-9,Lake Karen,32877,0388 Julie Crest,4,36
d-26,d-25,Vasquezmouth,02354,991 Scott Drive,6,35
d-3,d-12,Lyonschester,73631,6593 Robert Highway,42,24
d-3,d-19,Lake Bradley,75969,0082 Holmes Summit,8,32
d-19,d-22,Bryanstad,41081,6978 Justin Crossing,2,39
d-7,d-2,Rodriguezmouth,64340,0458 Paul Rapids,7,41
d-25,d-2,Adamsmouth,23172,232 Rice Hill,5,43
d-23,d-29,Williamsstad,95154,98316 Smith Fort,17,94
d-18,d-35,East Dustin,46575,361 King Plains,6,10
d-36,d-32,North Melanie,55961,197 William Plains,58,30
d-10,d-32,New Loretta,38194,6354 Richard Road,18,99
d-27,d-32,Emilymouth,40427,823 Rodriguez Island,7,36
d-2,d-14,Shawmouth,88667,1299 Tracey Estates,2,80
d-10,d-7,Conleyburgh,71132,03704 Jacobs Loop,5,64
d-29,d-9,Kimberlymouth,18271,56493 Miller Roads,16,81
d-32,d-28,Riveraville,16795,2376 Washington Cliffs,3,80
d-26,d-26,West Ashley,91682,213 Day Bypass,20,61
d-16,d-17,Johnsonshire,67197,52560 Johnson Corner,7,29
d-17,d-1,Brownton,63810,4201 Ryan Tunnel,46,12
d-14,d-17,West Ronald,98225,7691 Short Rapid,9,101
d-1,d-1,Angelaland,77689,598 Diana Gardens,7,22
d-34,d-18,North Stephaniechester,13784,0331 Anthony Freeway,3,6
d-7,d-11,West Michael,16805,399 Amy Motorway,5,32
d-1,d-7,Garciaside,24551,271 Patricia Island,6,25
d-19,d-19,Lisaport,38409,811 Cisneros Summit,7,61
d-18,d-26,Mitchellmouth,84999,76292 Nunez Village,2,88
d-8,d-26,Lake Patriciaberg,52686,9350 John Walks,7,73
d-19,d-30,Port Austinborough,33390,6594 Phillips Villages,2,49
d-1,d-35,East Alyssatown,54324,237 Ryan Squares,3,17
d-24,d-29,Lake Thomas,24836,1168 Annette Hills,1,54
d-1,d-4,Mercedesmouth,58262,7026 Jacob Walks,46,17
d-8,d-27,Weaverland,19607,97565 Long Vista,22,25
d-14,d-25,Perkinsfurt,09992,54152 Kimberly Stream,15,28
d-34,d-35,North Thomasstad,69785,597 Herrera Walks,8,90
d-3,d-11,New Paulland,78928,104 Frederick Pines,13,43
d-5,d-8,West Angela,56659,69567 Moran Brooks,19,69
d-8,d-29,West Jamesfurt,48008,0172 Jackson Landing,3,4
d-25,d-19,Patriciachester,26158,1397 Crystal Springs,7,29
d-8,d-26,North Gregory,82032,0912 Brandon Trafficway,2,19
d-34,d-26,West Matthewfurt,36854,272 Wilson Expressway,14,74
d-30,d-20,West Robert,84789,91833 Tammy Circles,5,89
d-25,d-22,Millershire,17611,13278 Jade Junctions,4,56
