competition_id,prize_pool,winner__owner__person_id,winner__pet__dog_id,runner_up__owner__person_id,runner_up__pet__dog_id,special_mention__owner__person_id,special_mention__pet__dog_id,special_mention__prize,runner_up__prize,winner__prize
c-41,5500,p-19,d-9,p-16,d-28,p-19,d-9,82,559,2044
c-42,5000,p-4,d-4,p-5,d-17,p-7,d-21,1013,1089,1175
c-43,2000,p-1,d-17,p-8,d-24,p-8,d-34,64,470,1107
c-44,9000,p-1,d-11,p-19,d-9,p-7,d-19,167,499,531
c-45,6000,p-21,d-31,p-1,d-17,p-7,d-27,42,177,195
c-46,9500,p-7,d-14,p-6,d-12,p-11,d-2,1037,1414,1627
c-47,14000,p-7,d-21,p-4,d-4,p-19,d-5,755,2273,2430
c-48,6500,p-8,d-24,p-2,d-31,p-11,d-2,521,1518,2117
c-49,9000,p-21,d-31,p-6,d-21,p-1,d-15,339,1199,2448
c-50,7000,p-11,d-2,p-1,d-5,p-21,d-36,162,422,768
c-51,14000,p-6,d-12,p-11,d-2,p-7,d-14,1559,1597,5518
c-52,15000,p-1,d-15,p-1,d-5,p-1,d-5,992,3543,5558
c-53,6500,p-21,d-7,p-10,d-2,p-4,d-4,770,2141,2211
c-54,14000,p-15,d-21,p-7,d-21,p-7,d-27,400,938,1501
c-55,4000,p-11,d-2,p-1,d-17,p-10,d-2,18,25,41
c-56,13000,p-10,d-2,p-8,d-15,p-16,d-28,126,296,486
c-57,14500,p-19,d-9,p-1,d-15,p-11,d-2,3889,4110,4997
c-58,9000,p-21,d-7,p-1,d-11,p-12,d-3,666,681,4866
c-59,12500,p-21,d-7,p-7,d-21,p-21,d-7,1248,3141,3246
c-60,6000,p-15,d-21,p-2,d-31,p-19,d-5,216,777,906
c-61,15000,p-15,d-21,p-1,d-15,p-21,d-7,2657,4328,6469
c-62,13500,p-12,d-3,p-21,d-31,p-8,d-34,291,379,587
c-63,8500,p-21,d-31,p-11,d-2,p-19,d-5,1253,1892,2174
c-64,15000,p-8,d-24,p-1,d-11,p-8,d-24,33,86,279
c-65,1000,p-19,d-7,p-21,d-36,p-21,d-36,133,226,251
c-66,2000,p-7,d-21,p-4,d-4,p-19,d-5,26,440,1171
c-67,10500,p-5,d-17,p-8,d-34,p-19,d-5,224,300,445
c-68,8500,p-19,d-7,p-16,d-28,p-12,d-3,810,3455,3474
c-69,8000,p-10,d-2,p-11,d-2,p-11,d-2,94,459,1019
c-70,500,p-3,d-21,p-3,d-21,p-5,d-17,56,74,237
c-71,12500,p-19,d-9,p-19,d-7,p-7,d-14,2159,2573,3672
c-72,500,p-19,d-9,p-12,d-8,p-8,d-15,20,49,108
c-73,12500,p-15,d-21,p-6,d-12,p-21,d-7,2477,4554,5021
c-74,10500,p-1,d-5,p-6,d-12,p-1,d-15,1903,2057,2563
c-75,11000,p-3,d-21,p-7,d-21,p-5,d-17,1638,2000,6466
c-76,9000,p-12,d-8,p-19,d-5,p-19,d-5,792,2873,2993
c-77,9000,p-11,d-2,p-12,d-3,p-19,d-9,1334,2143,2642
c-78,6500,p-12,d-8,p-7,d-14,p-8,d-15,478,1685,2344
c-79,4500,p-16,d-28,p-1,d-15,p-16,d-28,135,485,531
c-80,6500,p-21,d-31,p-6,d-12,p-6,d-21,391,2521,2592
c-81,12500,p-11,d-2,p-1,d-17,p-5,d-17,2275,4137,4170
c-82,5500,p-7,d-27,p-7,d-21,p-1,d-5,76,829,1804
c-83,7500,p-21,d-36,p-4,d-4,p-6,d-21,652,3196,3370
c-84,9000,p-1,d-5,p-7,d-27,p-1,d-5,37,778,2148
c-85,13500,p-19,d-5,p-21,d-36,p-7,d-19,320,2031,3172
c-86,9500,p-21,d-7,p-7,d-14,p-8,d-15,966,1604,2118
c-87,6500,p-6,d-21,p-7,d-14,p-21,d-31,907,950,2058
c-88,3500,p-10,d-2,p-12,d-8,p-11,d-2,875,1093,1143
c-89,1000,p-19,d-5,p-8,d-15,p-12,d-8,16,202,701
c-90,14500,p-19,d-9,p-11,d-2,p-7,d-21,1622,1624,2812
